Quantity,Comment,Description,Supplier 1,Supplier Part Number 1

"1","503500-0991","SD and Combo Memory Card Connector, 9 Position Surface Mount, -25 to 85 degC, RoHS, Tape and Reel","Farnell","2064067"
"1","FXO-HC736R-48","","Farnell","1641012RL"
"23","CAP 470nF 10V 0603(1608)","CAP 470nF 10V ±5% 0603 (1608 Metric) Thickness 1mm SMD","Farnell","1833805"
"3","CAP 15pF 16V 0603(1608)","CAP 15pF 16V ±0.25pF 0603 (1608 Metric) Thickness 1mm SMD","Farnell","2496834"
"5","CAP 1uF 16V 0603(1608)","CAP 1uF 16V ±5% 0603 (1608 Metric) Thickness 1mm SMD","Farnell","1833809"
"1","12K 1% 0603(1608)","12K 0.1W 1% 0603 (1608 Metric)  SMD","Digi-Key","P12.0KHCT-ND"
"1","20K 1% 0603(1608)","20K 0.1W 1% 0603 (1608 Metric)  SMD","Digi-Key","P20.0KHCT-ND"
"1","2x7 2mm header","2 x 7 2mm pitch vertical header","Digi-Key","WM17469-ND"
"1","300K 1% 0603(1608)","300K 0.1W 1% 0603 (1608 Metric)  SMD","Digi-Key","P300KHCT-ND"
"1","418117270903","WS-DITV 2.54 mm Compact THT Dip Switch with Raised Actuator","Digi-Key","732-3833-5-ND"
"1","45K3 1% 0603(1608)","45K3 0.1W 1% 0603 (1608 Metric)  SMD","Digi-Key","P45.3KHCT-ND"
"1","6K65 1% 0603(1608)","6K65 0.1W 1% 0603 (1608 Metric)  SMD","Digi-Key","P6.65KHCT-ND"
"1","820R 5% 0603(1608)","820R 0.1W 5% 0603 (1608 Metric)  SMD","Digi-Key","P820GCT-ND"
"1","CAP 10uF 10V 0603(1608)","CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD","Digi-Key","445-7486-1-ND"
"1","CAP 1uF 16V 0603(1608)","CAP 1uF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD","Digi-Key","311-1444-1-ND"
