Quantity per card;Total quantity to order;Supplier 1;Supplier Part Number 1;Description;Supplier webpage
;;;;;
1;5;Digikey;1175-1612-ND;Box Header, Pitch 2.54 mm, 2x10 Position, Height 9 mm, Tail Length 3 mm;http://www.digikey.com/product-detail/en/cnc-tech/3020-20-0100-00/1175-1612-ND/3441738
n/a;4;Digikey;S2221E-36-ND;Breakaway dual row header;http://www.digikey.com/product-detail/en/sullins-connector-solutions/PBC36DFBN/S2221E-36-ND/861382
n/a;10;Digikey;S1211EC-40-ND;Breakaway single row header;http://www.digikey.com/product-detail/en/sullins-connector-solutions/PRPC040SFAN-RC/S1211EC-40-ND/2775334
1;10;Digi-Key;P12.0KHCT-ND;12K 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P12.0KHCT-ND
1;10;Digi-Key;P20.0KHCT-ND;20K 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P20.0KHCT-ND
1;5;Digi-Key;WM17469-ND;2 x 7 2mm pitch vertical header;http://www.digikey.com/product-search/en?keywords=WM17469-ND
1;10;Digi-Key;P300KHCT-ND;300K 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P300KHCT-ND
1;5;Digi-Key;732-3833-5-ND;WS-DITV 2.54 mm Compact THT Dip Switch with Raised Actuator;http://www.digikey.com/product-search/en?keywords=732-3833-5-ND
1;10;Digi-Key;P45.3KHCT-ND;45K3 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P45.3KHCT-ND
1;10;Digi-Key;P6.65KHCT-ND;6K65 0.1W 1% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P6.65KHCT-ND
1;10;Digi-Key;P820GCT-ND;820R 0.1W 5% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=P820GCT-ND
1;10;Digi-Key;445-7486-1-ND;CAP 10uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD;http://www.digikey.com/product-search/en?keywords=445-7486-1-ND
1;10;Digi-Key;311-1444-1-ND;CAP 1uF 16V ±10% 0603 (1608 Metric) Thickness 1mm SMD;http://www.digikey.com/product-search/en?keywords=311-1444-1-ND
1;5;Digi-Key;768-1007-1-ND;USB UART Asynchronous Serial Data Transfer Chip, SSOP-28, Tape and Reel;http://www.digikey.com/product-search/en?keywords=768-1007-1-ND
1;6;Digi-Key;631-1185-1-ND;24 MHz oscillator;http://www.digikey.com/product-search/en?keywords=631-1185-1-ND
1;5;Digi-Key;LT6700HVCS6-3#TRMPBFCT-ND;Micropower, Low Voltage, Comparator with 400 mV Reference, 2 Channels, 1.4 to 36 V, -40 to +85 degC, 6-pin TSOT-23 (S6), Tape and Reel;http://www.digikey.com/product-search/en?keywords=LT6700HVCS6-3%23TRMPBFCT-ND
1;5;Digi-Key;557-1562-ND;128 Mb (x1/x2/x4) Serial NOR Flash Memory with Multi I/O, 108 MHz, 2.7 to 3.6 V, 8-pin SO8 Wide (SE), Tray;http://www.digikey.com/product-search/en?keywords=557-1562-ND
1;5;Digi-Key;277-1667-ND;Socket, Screw Terminal Block, 2 Way, 5.0 mm Pitch, 90 Degree Angle, Through-Hole;http://www.digikey.com/product-search/en?keywords=277-1667-ND
1;6;Digi-Key;296-23557-1-ND;Advanced USB Transceiver, Full Speed, Single, +/-15 KV, -40 to 85 degC, 14-Pin TSSOP (PW);http://www.digikey.com/product-search/en?keywords=296-23557-1-ND
1;6;Digi-Key;USB3300-EZK-CT-ND;Hi-Speed USB Host, Device or OTG PHY with ULPI Low Pin Interface, 5 pF, -40 to 85 degC, 32-Pin QFN (QFN-3304), RoHS, Tape and Reel;http://www.digikey.com/product-search/en?keywords=USB3300-EZK-CT-ND
12;60;Digi-Key;478-7943-1-ND;CAP 4.7uF 10V ±10% 0603 (1608 Metric) Thickness 1mm SMD;http://www.digikey.com/product-search/en?keywords=478-7943-1-ND
16;80;Digi-Key;541-470GCT-ND;470R 0.1W 5% 0603 (1608 Metric)  SMD;http://www.digikey.com/product-search/en?keywords=541-470GCT-ND
